perm_idx,trial_idx,apogee,landing_x,landing_y,max_mach,tank_ft,thrust_N,t_burn_s,wet_kg,dry_kg,wet_cg_cm,dry_cg_cm
0,1,89745.07282685583,-12791.407699917358,-5594.406724922213,7.522391618504997,20,17000.0,13.04,146.26,32.69,321.44,545.22
0,2,81206.13832855744,27548.319555977843,-20347.45281223041,7.35348866563035,20,17000.0,13.04,146.26,32.69,321.44,545.22
0,3,199300.10960583854,-9261.8311725867,-122275.87765235978,7.126912368182862,20,17000.0,13.04,146.26,32.69,321.44,545.22
0,4,201448.851271577,-23002.450500362447,-92903.8225300681,7.121961807076377,20,17000.0,13.04,146.26,32.69,321.44,545.22
0,0,62668.12479286038,-780.1920221539306,-6528.113019857423,5.394790608647144,12,20000.0,6.65,100.76,32.61,267.73,386.26
0,1,80156.56123417235,1348.3653263204799,-18938.371379626456,4.911155109939056,12,20000.0,6.65,100.76,32.61,267.73,386.26
0,2,80236.88944829123,4624.1096511692485,-17162.008485187554,4.911461942000614,12,20000.0,6.65,100.76,32.61,267.73,386.26
0,3,80003.48463300458,475.61996640098033,-20527.86188410281,4.909650149994417,12,20000.0,6.65,100.76,32.61,267.73,386.26
0,4,80376.66643968338,-670.692502284496,-15677.347417050123,4.912226609062163,12,20000.0,6.65,100.76,32.61,267.73,386.26
0,0,130709.5953177402,-711.7373672947191,-26012.768907040096,6.503309147152602,16,20000.0,8.86,123.51,32.65,295.3,466.09
0,1,130781.5259409686,1272.2261348252732,-25995.1686287467,6.503194794968976,16,20000.0,8.86,123.51,32.65,295.3,466.09
0,2,130833.15804751648,5563.028921022672,-24134.390501953694,6.503354197505628,16,20000.0,8.86,123.51,32.65,295.3,466.09
0,3,130472.39470881686,388.98625467123975,-30222.468243633863,6.502000656708814,16,20000.0,8.86,123.51,32.65,295.3,466.09
0,4,131023.4997815097,-440.7177768322049,-21227.452958981434,6.5038614814386735,16,20000.0,8.86,123.51,32.65,295.3,466.09
0,0,66469.1008299492,13324.205414959819,-7191.8615122287065,7.524218336757444,20,20000.0,11.08,146.26,32.69,321.44,545.22
0,1,66205.18121542151,13165.553413848187,-4792.273160992809,7.515842769438696,20,20000.0,11.08,146.26,32.69,321.44,545.22
0,2,65903.33527601865,9050.22214744507,4023.6359177751374,7.487211870704283,20,20000.0,11.08,146.26,32.69,321.44,545.22
0,3,199300.10960583854,-9261.8311725867,-122275.87765235978,7.126912368182862,20,20000.0,11.08,146.26,32.69,321.44,545.22
0,4,201448.851271577,-23002.450500362447,-92903.8225300681,7.121961807076377,20,20000.0,11.08,146.26,32.69,321.44,545.22
0,0,61750.92138512278,-704.1574416931419,-5824.181751634948,5.508029258772941,12,23000.0,5.78,100.76,32.61,267.73,386.26
0,1,69070.56937053545,675.7417040740096,-10114.252070125416,5.182737660313495,12,23000.0,5.78,100.76,32.61,267.73,386.26
0,2,69104.53044938791,2420.763674911112,-9124.981067953351,5.182804370818871,12,23000.0,5.78,100.76,32.61,267.73,386.26
0,3,64975.64707159287,254.26015284010938,-9243.623075247451,5.280373861811847,12,23000.0,5.78,100.76,32.61,267.73,386.26
0,4,65124.65772782728,-246.5943936828961,-6745.375829727112,5.281135900757736,12,23000.0,5.78,100.76,32.61,267.73,386.26
0,0,127061.12172862327,-9100.939612896776,-19245.404082316716,6.5701710591987155,16,23000.0,7.71,123.51,32.65,295.3,466.09
0,1,127227.09306139669,793.5165277614717,-21317.04664406311,6.570025554621746,16,23000.0,7.71,123.51,32.65,295.3,466.09
0,2,130833.15804751648,5563.028921022672,-24134.390501953694,6.503354197505628,16,23000.0,7.71,123.51,32.65,295.3,466.09
0,3,130472.39470881686,388.98625467123975,-30222.468243633863,6.502000656708814,16,23000.0,7.71,123.51,32.65,295.3,466.09
0,4,127014.84729195532,-1417.987018033646,-24687.04796841245,6.57040967608442,16,23000.0,7.71,123.51,32.65,295.3,466.09
0,0,50400.630094867614,9288.7593396326,-10137.303730546071,7.497808219674706,20,23000.0,9.64,146.26,32.69,321.44,545.22
0,1,51750.15688423131,-5287.584678582047,-127.8646469969436,7.539071980671059,20,23000.0,9.64,146.26,32.69,321.44,545.22
0,2,40230.320034243145,-1553.1909720137862,-9721.495630923531,7.539706137068191,20,23000.0,9.64,146.26,32.69,321.44,545.22
0,3,41217.13668067362,-5233.50368012561,-4937.064418992475,7.569774082664241,20,23000.0,9.64,146.26,32.69,321.44,545.22
0,4,40866.52739635277,-671.8832968970092,-10012.759063007048,7.562822907186137,20,23000.0,9.64,146.26,32.69,321.44,545.22
0,0,58748.9103311881,-626.5375191555677,-5148.642833144346,5.540273983490659,12,26000.0,5.11,100.76,32.61,267.73,386.26
0,1,58735.97242688389,333.86814817653436,-5640.672656532979,5.54022226763045,12,26000.0,5.11,100.76,32.61,267.73,386.26
0,2,58739.345062685956,1335.3900060218634,-5078.243939992035,5.540151687902349,12,26000.0,5.11,100.76,32.61,267.73,386.26
0,3,58679.59710074321,236.00908856977838,-6301.374294326805,5.539697890585554,12,26000.0,5.11,100.76,32.61,267.73,386.26
0,4,58778.669078857405,-88.22621902411949,-4538.648302084967,5.54027964692137,12,26000.0,5.11,100.76,32.61,267.73,386.26
0,0,122129.38858901405,-7206.40819512858,-15013.258263957478,6.602844087617071,16,26000.0,6.82,123.51,32.65,295.3,466.09
0,1,122057.20533144569,4439.350181309465,-10407.887451187536,6.6025871421885105,16,26000.0,6.82,123.51,32.65,295.3,466.09
